name,campus,capacity,type,amenities,contact_url
Addition Financial Arena,Main Campus,10000,Arena,"Professional AV, Catering Kitchen, Ample Parking, Multiple Spaces",https://www.additionfiarena.com/host-an-event
The Venue at CFE Arena,Main Campus,3000,Conference Center,"Professional AV, Flexible Layout, Catering Available",https://www.additionfiarena.com/host-an-event
The Cypress Room,Main Campus,500,Banquet Hall,"Elegant Space, Catering Available, AV Support",https://www.additionfiarena.com/host-an-event
Pegasus Ballroom A,Main Campus,300,Ballroom,"Central Location, AV Equipment, Flexible Setup",https://studentunion.ucf.edu/reservations/
Pegasus Ballroom B,Main Campus,300,Ballroom,"Central Location, AV Equipment, Flexible Setup",https://studentunion.ucf.edu/reservations/
Pegasus Ballroom C,Main Campus,300,Ballroom,"Central Location, AV Equipment, Flexible Setup",https://studentunion.ucf.edu/reservations/
Pegasus Ballroom D,Main Campus,300,Ballroom,"Central Location, AV Equipment, Flexible Setup",https://studentunion.ucf.edu/reservations/
Key West Ballroom,Main Campus,500,Ballroom,"Large Space, AV Equipment, Catering Available",https://studentunion.ucf.edu/reservations/
Charge On Chambers,Main Campus,100,Meeting Room,"Presentation Ready, AV Equipment, Central Location",https://studentunion.ucf.edu/reservations/
Live Oak Center,Main Campus,200,Event Space,"Flexible Layout, AV Support, Student Union Location",https://studentunion.ucf.edu/reservations/
Downtown Campus Facilities,Downtown,varies,Academic/Conference,"Modern Facilities, SunRail Accessible, Downtown Location",https://www.ucf.edu/downtown/
Lake Nona Medical Campus,Lake Nona,varies,Medical/Academic,"State-of-art Medical Facilities, Professional Environment",https://med.ucf.edu/
Rosen College Facilities,Rosen,varies,Hospitality/Conference,"Hospitality Focused, I-Drive Location, Hotel Proximity",https://hospitality.ucf.edu/about/event-planning/
