category,title,url,description
Conflict Management,UCF Campus Events,https://events.ucf.edu/,Browse all scheduled UCF campus events
Conflict Management,UCF Athletics Calendar,https://ucfknights.com/all-sports-schedule,View UCF Knights athletic schedule for all sports
Conflict Management,Board of Trustees Meetings,https://bot.ucf.edu/meetings/,UCF Board of Trustees meeting schedule
Conflict Management,FL Board of Governors,https://www.flbog.edu/board/upcoming-meeting/,Florida Board of Governors upcoming meetings
Parking & Transportation,Event Parking Services,https://parking.ucf.edu/events-parking/,Special event parking coordination and visitor permits
Parking & Transportation,Campus Transportation,https://parking.ucf.edu/transportation/on-campus/,UCF shuttle services and on-campus transportation
Parking & Transportation,Campus Parking Map,https://parking.ucf.edu/wp-content/uploads/sites/22/2025/09/ParkingGuide10.25Online.pdf,Interactive campus parking map (PDF)
Security,UCF Police Special Events,https://police.ucf.edu/contact-us/forms-requests/special-event-requests/,Submit special event security request to UCF Police
Catering,UCF Dining Catering,https://ucf.mydininghub.com/en/catering,UCF Dining Services catering menus for main campus
Permits,UCF SAFE Form,https://risk.ucf.edu/event-safety/,Special Activity & Facility Event safety review form
Marketing,UCF Brand Standards,https://www.ucf.edu/brand/,Official UCF brand guidelines and resources
Venues,Addition Financial Arena,https://www.additionfiarena.com/host-an-event,Host events at the Arena - includes Arena and Cypress Room and The Venue
Venues,Student Union Reservations,https://studentunion.ucf.edu/reservations/,Reserve ballrooms and meeting rooms at UCF Student Union
Venues,UCF Downtown Facilities,https://www.ucf.edu/downtown/wp-content/blogs.dir/21/files/2021/08/2021_DT-Reservation-Guide_F-web.pdf,Downtown campus reservation guide (PDF)
Venues,Lake Nona Campus,https://med.ucf.edu/student-affairs/student-services/student-organizations-student-events/purchase-request-form-prf/,Lake Nona medical campus event information
Venues,Rosen Campus Events,https://hospitality.ucf.edu/about/event-planning/,Rosen College of Hospitality event planning information
