category,title,description,priority
Budgeting,Start Early,Begin budget planning 3-6 months before your event,High
Budgeting,Contingency Fund,Include 10-15% contingency for unexpected costs,High
Budgeting,Multiple Quotes,Get multiple quotes for major expenses,Medium
Budgeting,Track in Real-Time,Track all expenses in real-time as they occur,High
Budgeting,UCF Discounts,Consider student organization discounts for UCF services,Medium
Conflict Management,Check Multiple Calendars,Review all relevant calendars before finalizing date,High
Conflict Management,Book Early,Book event date 6-8 weeks in advance minimum,High
Conflict Management,Avoid Finals,Don't schedule during midterms or finals weeks,High
Conflict Management,Athletic Considerations,Be aware of home football games (40000+ attendees),High
Venues,Plan Capacity,Choose venue that fits 10-15% more than RSVP count,High
Venues,Visit in Person,Tour potential venues before committing,Medium
Venues,Verify AV Equipment,Confirm included technology and rental needs,High
Venues,Check Accessibility,Ensure ADA compliance and accessible parking,High
Parking,Contact Early,Contact Parking Services 2-4 weeks in advance,High
Parking,Provide Instructions,Include detailed parking info in all communications,High
Parking,Avoid Peak Times,Evening events easier than Mon-Thu 9am-6pm,Medium
Parking,Game Day Conflicts,Never schedule during home football games,High
Security,Risk Assessment,Conduct risk assessment for event type and size,High
Security,Submit Early,Submit special event request to UCF Police 2-4 weeks ahead,High
Security,Emergency Planning,Create emergency contact list and rally points,High
Security,First Aid,Have at least one first aid/CPR certified staff member,Medium
Catering,Order Ahead,Plan 5-7 business days ahead for catering orders,High
Catering,Account for Extras,Order for 10-15% more than confirmed RSVPs,High
Catering,Dietary Options,Always offer vegetarian and ask about restrictions,High
Catering,Label Foods,Label all dishes with ingredients and allergens,Medium
Permits,SAFE Form Timing,Submit SAFE Form 30 days before event (60 for complex),High
Permits,Vendor Insurance,Ensure all vendors provide insurance certificates,High
Permits,Review Requirements,Carefully review all permit conditions,High
Marketing,Use Brand Standards,Follow UCF brand guidelines for all materials,High
Marketing,Multi-Channel,Use multiple marketing channels (email social digital),High
Marketing,Start Early,Begin promotion 6-8 weeks before event,High
Marketing,Follow-Up,Send thank you and survey after event,Medium
Lodging,Book Room Blocks Early,Contact hotels 3-6 months ahead for groups,Medium
Lodging,Get Contract Terms,Review all contract terms especially attrition,High
Lodging,Provide Alternatives,Offer hotel options at different price points,Medium
